Year;Country;Ranking;Price (30);Public place bans (22);Public info campaign spending (15);Advertising bans (13);Health warnings (10);Treatment (10);Total (100)
2003;Austria;25;11;7;4;;6;3;31
2003;Belgium;19;13;6;0;10;7;2;38
2003;Cyprus;14;23;4;0;11;3;3;44
2003;Czech Rep.;27;11;6;1;5;2;2;27
2003;Denmark;16;13;2;3;10;6;7;41
2003;Estonia;12;16;16;2;10;1;2;47
2003;Finland;9;13;16;2;13;7;2;53
2003;France;7;20;6;4;12;6;6;54
2003;Germany;21;15;2;0;4;6;8;35
2003;Greece;18;15;7;;5;6;7;40
2003;Hungary;11;14;10;1;10;6;9;49
2003;Iceland;1;24;16;15;13;10;10;76
2003;Ireland;4;20;15;4;11;6;6;62
2003;Italy ;16;11;7;2;11;6;4;41
2003;Latvia;25;11;7;1;6;6;0;31
2003;Lithuania;21;12;5;0;12;6;0;35
2003;Luxembourg;28;7;4;;7;3;2;23
2003;Malta;5;23;12;0;10;7;6;58
2003;Netherlands;7;12;12;7;12;6;5;54
2003;Norway;3;23;16;6;13;6;3;67
2003;Poland;10;13;15;0;12;5;7;52
2003;Portugal;20;13;;6;9;6;2;37
2003;Slovakia;15;14;11;0;11;3;4;43
2003;Slovenia;12;12;15;0;9;6;5;47
2003;Spain ;24;14;2;;4;6;6;32
2003;Sweden;6;15;15;3;12;6;4;55
2003;Switzerland;21;13;6;5;4;3;4;35
2003;UK;1;26;5;14;11;6;10;72
